Type,Name,Street Address,City,Latitude,Longitude,Image,NYPL
Hotel,Warren,1252 7th Street,Oakland,37.8043823,-122.290397,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/The_Negro_Motorist_Green_Book.jpg/646px-The_Negro_Motorist_Green_Book.jpg,
Tourist Homes,Mrs. A. C. Clark,805 Linden St.,Oakland,37.8033275,-122.2860623,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/The_Negro_Motorist_Green_Book.jpg/646px-The_Negro_Motorist_Green_Book.jpg,
Restaurants,The Villa,1724 7th St.,Oakland,37.8070566,-122.3014946,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/The_Negro_Motorist_Green_Book.jpg/646px-The_Negro_Motorist_Green_Book.jpg,
Beauty Parlor,Personality,3613 San Dablo Avenue,Oakland,37.8273412,-122.2789594,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/The_Negro_Motorist_Green_Book.jpg/646px-The_Negro_Motorist_Green_Book.jpg,
Tavern,Overland Cafe,1719 7th St.,Oakland,37.8072274,-122.3027759,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/The_Negro_Motorist_Green_Book.jpg/646px-The_Negro_Motorist_Green_Book.jpg,
Tavern,Rythm Buffet,1704 7th St.,Oakland,37.8069401,-122.3009258,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/The_Negro_Motorist_Green_Book.jpg/646px-The_Negro_Motorist_Green_Book.jpg,
Service Stations,Summers,1251 7th St.,Oakland,37.8042889,-122.2904705,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/The_Negro_Motorist_Green_Book.jpg/646px-The_Negro_Motorist_Green_Book.jpg,
Service Stations,McCabe,5901 Adeline St.,Oakland,37.8439002,-122.2734564,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/The_Negro_Motorist_Green_Book.jpg/646px-The_Negro_Motorist_Green_Book.jpg,
Service Stations,Signal,800 Center St.,Oakland,37.8084238,-122.2940402,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/The_Negro_Motorist_Green_Book.jpg/646px-The_Negro_Motorist_Green_Book.jpg,
